chapter,lesson_id,lesson_title,level,grammar_note,intro
First Words,greetings,Greetings & polite words,A1,greetings,"Hello, thank you, sorry - the words you use in the first five seconds of any conversation."
First Words,pronouns,"Saying I, you and we",A1,pronouns,"Who is doing what: saya, awak, dia, and the tricky kita versus kami."
First Words,numbers,Numbers 1 to 10,A1,,Counting from satu to sepuluh.
Everyday Life,family,Family members,A1,,"Mother, father, brother and sister - the people closest to you."
Everyday Life,food-drink,Food & drink,A1,,"Rice, water, and the verbs for eating and drinking."
Everyday Life,colours,Colours,A1,,The basic colour words.
Everyday Life,essentials,Everyday essentials,A1,,"Yes, no, and talking about the day."
Making Sentences,sentences,Building a sentence,A1,word-order,"Malay word order, and the good news that verbs never change for tense."
Making Sentences,questions,Asking questions,A1,question-words,"Apa, siapa, mana - the words that turn a statement into a question."
Out & About,directions,Directions,A2,,"Left, right, straight on - finding your way."
Out & About,places-transport,Places & transport,A2,,"Shops, the market, and getting around town."
Actions & Descriptions,ber-verbs,Verbs with ber-,A2,prefix-ber,The ber- prefix and the everyday activity verbs it builds.
Actions & Descriptions,me-verbs,Verbs with me-,A2,prefix-me,"The me- prefix, and how it changes shape with the first sound of a word."
Actions & Descriptions,adjectives,Describing things,A2,,"Adjectives, and where they sit in a sentence."
Actions & Descriptions,comparisons,Comparing things,A2,comparisons,"More, less, and the most."
Word-Building I,suffix-kan,The -kan suffix,B1,affix-me-kan,Making verbs that cause something or do it for someone.
Word-Building I,suffix-i,The -i suffix,B1,affix-me-i,"The -i suffix, and how it differs from -kan."
Word-Building I,prefix-ter,The ter- prefix,B1,prefix-ter,"Accidental, superlative and managed-to - the three jobs of ter-."
Time & Connections,aspect,Aspect markers,B1,aspect-markers,"sudah, sedang, akan, belum - showing when things happen."
Time & Connections,conjunctions,Joining ideas,B1,conjunctions,"because, but, although, so - the connecting words."
Time & Connections,relative-yang,The word yang,B1,relative-yang,Linking a noun to a description with yang.
Word-Building II,nominalisation,Making nouns,B2,nominalisation,Circumfixes that turn roots into abstract nouns.
Word-Building II,passive-voice,The passive voice,B2,passive-voice,"di-, oleh, and the kena passive."
Style & Nuance,register,Formal vs colloquial,B2,register-style,Bahasa baku and the everyday spoken forms.
Style & Nuance,particles,Sentence particles,B2,particles,"lah, kah, pun, nya - the little words that add nuance."
Saying It Precisely,precise-words,Precise word choice,C1,word-choice,"ialah or adalah, boleh or dapat - picking the exact right word."
Saying It Precisely,reduplication,Reduplication,C1,reduplication,"Why Malay repeats words, and what each kind of repetition means."
Formal Malay,formal-connectors,Formal connectors,C1,formal-connectors,"namun, manakala, justeru - the connectors of essays and news."
Formal Malay,memper,The memper- prefix,C1,memper-prefix,"A layered prefix for careful, formal verbs."
Idioms & Proverbs,simpulan-bahasa,Idioms,C2,idioms,Simpulan bahasa - fixed idioms you cannot translate literally.
Idioms & Proverbs,peribahasa,Proverbs,C2,peribahasa,The traditional proverbs that carry Malay wisdom.
