id,level,skill,lesson,type,prompt,opt_a,opt_a_correct,opt_a_why,opt_b,opt_b_correct,opt_b_why,opt_c,opt_c_correct,opt_c_why,opt_d,opt_d_correct,opt_d_why,accepted,explanation,grammar_note,tags
fn-001,A2,vocab,telling-time,mcq,"What does ""pukul"" mean when telling the time?","o'clock / hour",true,"Correct — 'pukul tiga' means 'three o'clock'.","minute",false,"A minute is 'minit', not 'pukul'.","half",false,"Half is 'setengah'.","quarter",false,"Quarter is 'suku'.",,"'Pukul' marks the hour: 'pukul lima' = five o'clock.",clock,time
fn-002,A2,vocab,telling-time,mcq,"How do you say 'half past two' in Malay?","pukul dua setengah",true,"Correct — 'setengah' (half) is added after the hour.","pukul dua suku",false,"'Suku' means quarter, not half.","setengah pukul dua",false,"The hour comes first: 'pukul dua setengah'.","pukul setengah dua",false,"'Pukul' must be directly followed by the hour number.",,"For half past, say the hour then 'setengah': 'pukul dua setengah'.",clock,time
fn-003,A2,vocab,telling-time,mcq,"What does ""suku"" mean in the context of time?","quarter",true,"Correct — 'pukul tiga suku' = quarter past three.","half",false,"Half is 'setengah'.","o'clock",false,"O'clock is 'pukul'.","minute",false,"Minute is 'minit'.",,"'Suku' = quarter; 'pukul empat suku' means a quarter past four.",clock,time
fn-004,A2,grammar,telling-time,mcq,"It is 7:00 in the morning. Which is correct?","pukul tujuh pagi",true,"Correct — 'pagi' covers early morning hours.","pukul tujuh malam",false,"'Malam' is night, used for evening/night hours.","pukul tujuh petang",false,"'Petang' is afternoon/early evening.","pukul tujuh tengah hari",false,"'Tengah hari' is midday, around noon.",,"Use 'pagi' for morning, 'tengah hari' midday, 'petang' afternoon, 'malam' night.",clock,time
fn-005,A2,vocab,telling-time,mcq,"Which time of day is ""tengah hari""?","midday / noon",true,"Correct — 'tengah hari' is around 12 noon.","midnight",false,"Midnight is 'tengah malam'.","early morning",false,"Early morning is 'pagi'.","late evening",false,"Late evening is 'malam'.",,"'Tengah hari' = midday; 'tengah malam' = midnight.",clock,time
fn-006,A2,translation,telling-time,text,"Translate to Malay: 'What time is it now?'",,,,,,,,,,,,,"pukul berapa sekarang|pukul berapa sekarang?|sekarang pukul berapa","'Pukul berapa sekarang?' is the standard way to ask the time.",clock,time
fn-007,A2,translation,telling-time,text,"Translate to Malay: 'It is five o'clock.' (use 'sekarang')",,,,,,,,,,,,,"sekarang pukul lima|pukul lima","State the time with 'pukul' plus the number: 'pukul lima'.",clock,time
fn-008,A2,grammar,telling-time,mcq,"A friend asks ""Pukul berapa sekarang?"" It is 9:30 at night. Best reply:","Pukul sembilan setengah malam.",true,"Correct — hour + 'setengah' + 'malam'.","Pukul sembilan suku pagi.",false,"It is night, not morning, and 9:30 is half not quarter.","Sembilan malam pukul.",false,"Word order is wrong; 'pukul' leads the time phrase.","Pukul setengah sembilan.",false,"'Setengah' comes after the hour, not before.",,"9:30 PM = 'pukul sembilan setengah malam'.",clock,time
fn-009,A2,vocab,telling-time,mcq,"How do you say 'minute' in Malay?","minit",true,"Correct — e.g. 'lima minit' = five minutes.","jam",false,"'Jam' means hour or clock.","saat",false,"'Saat' means second.","masa",false,"'Masa' means time in general.",,"'Minit' = minute, 'saat' = second, 'jam' = hour.",clock,time
fn-010,A2,grammar,telling-time,fill_blank,"Fill the blank: 'Pukul tiga ___ lima belas minit' (3:15, 'and').",,,,,,,,,,,,,"dan|lebih","'Pukul tiga dan lima belas minit' or 'pukul tiga lebih lima belas minit' for 3:15.",clock,time
fn-011,A2,translation,telling-time,text,"Translate to Malay: 'The shop opens at eight in the morning.'",,,,,,,,,,,,,"kedai buka pukul lapan pagi|kedai itu buka pukul lapan pagi","'buka' = open; the time follows with 'pukul lapan pagi'.",clock,time
fn-012,A2,grammar,telling-time,mcq,"Which sentence correctly says 'The bus leaves at 6:45 in the evening'?","Bas bertolak pukul tujuh kurang suku petang.",true,"Correct — '6:45' can be said as 'tujuh kurang suku' (quarter to seven).","Bas bertolak pukul enam suku petang.",false,"'Enam suku' is 6:15, not 6:45.","Bas bertolak setengah tujuh petang.",false,"'Setengah tujuh' would be 6:30.","Bas bertolak pukul enam petang kurang.",false,"'Kurang suku' must come right after the next hour.",,"'Kurang suku' = quarter to; 'pukul tujuh kurang suku' = 6:45.",clock,time
fn-013,A2,vocab,telling-time,mcq,"What does ""kurang"" indicate when telling time, as in 'pukul lapan kurang sepuluh'?","ten minutes to eight",true,"Correct — 'kurang' means 'minus/to', so 7:50.","ten minutes past eight",false,"'Past' would be 'lebih', not 'kurang'.","eight ten exactly",false,"That ignores 'kurang' which subtracts.","half past eight",false,"Half past would use 'setengah'.",,"'Kurang' subtracts minutes from the upcoming hour: 'lapan kurang sepuluh' = 7:50.",clock,time
fn-014,A2,grammar,telling-time,word_order,"Arrange into a sentence: 'sekarang / pukul / sebelas / malam' (It is 11 PM now.)",,,,,,,,,,,,,"sekarang pukul sebelas malam","Time-of-day word 'malam' comes last after the hour.",clock,time
